cpu-bind=MASK - bp1-compute164, task 4294967295 4294967295 [0]: mask 0xa7fb00ffa7fb00ff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 45.056077 secs
Exciton, frame 88524 ran in:  13.720439672470093
Exciton, frame 88525 ran in:  13.845705270767212
Exciton, frame 88526 ran in:  13.649997234344482
Exciton, frame 88527 ran in:  13.766217708587646
Exciton, frame 88528 ran in:  13.200072526931763
Exciton, frame 88529 ran in:  13.475362539291382
Exciton, frame 88530 ran in:  13.261078119277954
Exciton, frame 88531 ran in:  13.312061309814453
Exciton, frame 88532 ran in:  13.363332986831665
Exciton, frame 88533 ran in:  13.596512794494629
Exciton, frame 88534 ran in:  13.417773723602295
Exciton, frame 88535 ran in:  13.329002141952515
Exciton, frame 88536 ran in:  13.402695655822754
Exciton, frame 88537 ran in:  14.313786745071411
Exciton, frame 88538 ran in:  13.53883695602417
Exciton, frame 88539 ran in:  13.819374561309814
Exciton, frame 88540 ran in:  13.78586220741272
Exciton, frame 88541 ran in:  13.83603811264038
Exciton, frame 88542 ran in:  13.264175653457642
Exciton, frame 88543 ran in:  13.287270307540894
Exciton, frame 88544 ran in:  13.352163076400757
Exciton, frame 88545 ran in:  13.422741174697876
Exciton, frame 88546 ran in:  13.44928240776062
Exciton, frame 88547 ran in:  13.611135721206665
Exciton, frame 88548 ran in:  13.067495346069336
Exciton, frame 88549 ran in:  13.390950918197632
Exciton, frame 88550 ran in:  13.450320959091187
Exciton, frame 88551 ran in:  13.348304986953735
Exciton, frame 88552 ran in:  13.611470460891724
Exciton, frame 88553 ran in:  13.77598237991333
Exciton, frame 88554 ran in:  13.639991760253906
Exciton, frame 88555 ran in:  13.979540586471558
Exciton, frame 88556 ran in:  13.390730142593384
