cpu-bind=MASK - bp1-compute131, task 4294967295 4294967295 [0]: mask 0x1fefff001fefff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 47.700942 secs
Exciton, frame 16542 ran in:  13.837914228439331
Exciton, frame 16543 ran in:  14.234463453292847
Exciton, frame 16544 ran in:  13.929054975509644
Exciton, frame 16545 ran in:  13.914392471313477
Exciton, frame 16546 ran in:  13.906252145767212
Exciton, frame 16547 ran in:  13.301169633865356
Exciton, frame 16548 ran in:  13.619127988815308
Exciton, frame 16549 ran in:  13.959040641784668
Exciton, frame 16550 ran in:  13.033403635025024
Exciton, frame 16551 ran in:  13.897878170013428
Exciton, frame 16552 ran in:  13.112025260925293
Exciton, frame 16553 ran in:  13.87860107421875
Exciton, frame 16554 ran in:  13.991045475006104
Exciton, frame 16555 ran in:  14.194585800170898
Exciton, frame 16556 ran in:  13.117122650146484
Exciton, frame 16557 ran in:  12.682733535766602
