cpu-bind=MASK - bp1-compute168, task 4294967295 4294967295 [0]: mask 0x2ffd30bb2ffd30bb set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 32.759545 secs
Exciton, frame 12543 ran in:  12.93607497215271
Exciton, frame 12544 ran in:  12.867812395095825
Exciton, frame 12545 ran in:  12.679016590118408
Exciton, frame 12546 ran in:  12.660957098007202
Exciton, frame 12547 ran in:  13.009449005126953
Exciton, frame 12548 ran in:  13.136491775512695
Exciton, frame 12549 ran in:  13.191629409790039
Exciton, frame 12550 ran in:  12.921997785568237
Exciton, frame 12551 ran in:  13.738051652908325
Exciton, frame 12552 ran in:  12.952456951141357
Exciton, frame 12553 ran in:  13.086019039154053
Exciton, frame 12554 ran in:  13.067280054092407
Exciton, frame 12555 ran in:  12.602458477020264
Exciton, frame 12556 ran in:  12.957152843475342
