cpu-bind=MASK - bp1-compute130, task 4294967295 4294967295 [0]: mask 0x3bfdff003bfdff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 58.239989 secs
Exciton, frame 4479 ran in:  12.935333967208862
Exciton, frame 4480 ran in:  12.834614515304565
Exciton, frame 4481 ran in:  12.60106086730957
Exciton, frame 4482 ran in:  13.190311670303345
Exciton, frame 4483 ran in:  13.40379810333252
Exciton, frame 4484 ran in:  12.604571104049683
Exciton, frame 4485 ran in:  13.009704828262329
Exciton, frame 4486 ran in:  14.445416450500488
Exciton, frame 4487 ran in:  13.322874546051025
Exciton, frame 4488 ran in:  13.41170048713684
Exciton, frame 4489 ran in:  12.511008501052856
Exciton, frame 4490 ran in:  12.684221029281616
Exciton, frame 4491 ran in:  12.662444114685059
Exciton, frame 4492 ran in:  13.023653745651245
Exciton, frame 4493 ran in:  12.734504699707031
Exciton, frame 4494 ran in:  13.365641593933105
Exciton, frame 4495 ran in:  12.5687894821167
Exciton, frame 4496 ran in:  12.680038213729858
Exciton, frame 4497 ran in:  12.872361660003662
Exciton, frame 4498 ran in:  12.57853102684021
Exciton, frame 4499 ran in:  13.31140661239624
Exciton, frame 4500 ran in:  12.570057153701782
Exciton, frame 4501 ran in:  12.692333459854126
Exciton, frame 4502 ran in:  12.700969457626343
Exciton, frame 4503 ran in:  12.378295183181763
Exciton, frame 4504 ran in:  12.736834287643433
Exciton, frame 4505 ran in:  12.90390682220459
Exciton, frame 4506 ran in:  12.993370056152344
Exciton, frame 4507 ran in:  12.560020685195923
Exciton, frame 4508 ran in:  12.753735303878784
Exciton, frame 4509 ran in:  13.150120973587036
Exciton, frame 4510 ran in:  12.667338371276855
Exciton, frame 4511 ran in:  13.01963758468628
Exciton, frame 4512 ran in:  13.544296979904175
Exciton, frame 4513 ran in:  13.598513126373291
Exciton, frame 4514 ran in:  12.335428953170776
Exciton, frame 4515 ran in:  13.662422180175781
Exciton, frame 4516 ran in:  12.883685111999512
Exciton, frame 4517 ran in:  12.750778198242188
Exciton, frame 4518 ran in:  12.973639488220215
Exciton, frame 4519 ran in:  12.498373985290527
Exciton, frame 4520 ran in:  12.59222674369812
Exciton, frame 4521 ran in:  13.479912042617798
Exciton, frame 4522 ran in:  14.427206754684448
Exciton, frame 4523 ran in:  12.626015663146973
Exciton, frame 4524 ran in:  12.579950094223022
Exciton, frame 4525 ran in:  12.619659900665283
Exciton, frame 4526 ran in:  12.534069538116455
Exciton, frame 4527 ran in:  13.637386083602905
Exciton, frame 4528 ran in:  12.656097650527954
Exciton, frame 4529 ran in:  13.581300020217896
Exciton, frame 4530 ran in:  12.854960441589355
Exciton, frame 4531 ran in:  12.712053537368774
Exciton, frame 4532 ran in:  13.602826118469238
Exciton, frame 4533 ran in:  12.643969297409058
Exciton, frame 4534 ran in:  13.935609340667725
Exciton, frame 4535 ran in:  12.725671529769897
Exciton, frame 4536 ran in:  13.164371013641357
Exciton, frame 4537 ran in:  12.705187320709229
Exciton, frame 4538 ran in:  12.56883716583252
Exciton, frame 4539 ran in:  12.497606992721558
Exciton, frame 4540 ran in:  13.129826784133911
Exciton, frame 4541 ran in:  12.721909046173096
Exciton, frame 4542 ran in:  12.570657014846802
Exciton, frame 4543 ran in:  13.259854078292847
Exciton, frame 4544 ran in:  12.763011693954468
Exciton, frame 4545 ran in:  13.030253410339355
Exciton, frame 4546 ran in:  12.680905818939209
Exciton, frame 4547 ran in:  12.092147827148438
Exciton, frame 4548 ran in:  12.54704236984253
Exciton, frame 4549 ran in:  12.727504968643188
Exciton, frame 4550 ran in:  12.187888383865356
Exciton, frame 4551 ran in:  12.334128618240356
Exciton, frame 4552 ran in:  13.354770183563232
Exciton, frame 4553 ran in:  13.474352359771729
Exciton, frame 4554 ran in:  12.635797500610352
Exciton, frame 4555 ran in:  12.91204571723938
Exciton, frame 4556 ran in:  12.585981130599976
Exciton, frame 4557 ran in:  12.86252212524414
