cpu-bind=MASK - bp1-compute132, task 4294967295 4294967295 [0]: mask 0xdbb6ddb0dbb6ddb set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 79.654321 secs
Exciton, frame 1481 ran in:  14.106519937515259
Exciton, frame 1482 ran in:  13.963587522506714
Exciton, frame 1483 ran in:  14.334999322891235
Exciton, frame 1484 ran in:  14.001455307006836
Exciton, frame 1485 ran in:  13.989768981933594
Exciton, frame 1486 ran in:  13.71769094467163
Exciton, frame 1487 ran in:  13.871964931488037
Exciton, frame 1488 ran in:  14.194729089736938
Exciton, frame 1489 ran in:  14.175854921340942
Exciton, frame 1490 ran in:  13.828126907348633
Exciton, frame 1491 ran in:  13.75893783569336
Exciton, frame 1492 ran in:  13.789128303527832
Exciton, frame 1493 ran in:  13.832990169525146
Exciton, frame 1494 ran in:  14.092055320739746
Exciton, frame 1495 ran in:  14.20408844947815
Exciton, frame 1496 ran in:  14.15433669090271
Exciton, frame 1497 ran in:  13.807225465774536
Exciton, frame 1498 ran in:  14.080402851104736
Exciton, frame 1499 ran in:  13.964427471160889
Exciton, frame 1500 ran in:  13.99519658088684
Exciton, frame 1501 ran in:  14.231870651245117
Exciton, frame 1502 ran in:  14.044276237487793
Exciton, frame 1503 ran in:  14.239219903945923
Exciton, frame 1504 ran in:  14.089215517044067
Exciton, frame 1505 ran in:  14.09780240058899
Exciton, frame 1506 ran in:  14.011595487594604
Exciton, frame 1507 ran in:  13.933994054794312
Exciton, frame 1508 ran in:  13.665417432785034
Exciton, frame 1509 ran in:  14.103072166442871
Exciton, frame 1510 ran in:  14.054874420166016
Exciton, frame 1511 ran in:  13.834566116333008
Exciton, frame 1512 ran in:  14.174948930740356
Exciton, frame 1513 ran in:  14.140553951263428
Exciton, frame 1514 ran in:  14.033547401428223
Exciton, frame 1515 ran in:  13.766712188720703
Exciton, frame 1516 ran in:  14.005279302597046
Exciton, frame 1517 ran in:  13.764765739440918
Exciton, frame 1518 ran in:  14.196848154067993
Exciton, frame 1519 ran in:  14.28355073928833
Exciton, frame 1520 ran in:  13.982195138931274
Exciton, frame 1521 ran in:  13.926211595535278
Exciton, frame 1522 ran in:  14.249443531036377
Exciton, frame 1523 ran in:  14.084465980529785
Exciton, frame 1524 ran in:  14.04792046546936
Exciton, frame 1525 ran in:  14.10208797454834
Exciton, frame 1526 ran in:  14.16448450088501
Exciton, frame 1527 ran in:  13.638184547424316
Exciton, frame 1528 ran in:  13.675353765487671
Exciton, frame 1529 ran in:  14.187129974365234
Exciton, frame 1530 ran in:  13.722992897033691
Exciton, frame 1531 ran in:  14.129666566848755
Exciton, frame 1532 ran in:  13.827295303344727
Exciton, frame 1533 ran in:  14.205721855163574
Exciton, frame 1534 ran in:  13.862857103347778
Exciton, frame 1535 ran in:  13.822420835494995
