cpu-bind=MASK - bp1-compute158, task 4294967295 4294967295 [0]: mask 0x7f0f8e8f7f0f8e8f set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 22.897210 secs
Exciton, frame 18486 ran in:  14.165696382522583
Exciton, frame 18487 ran in:  14.29458498954773
Exciton, frame 18488 ran in:  14.175492525100708
Exciton, frame 18489 ran in:  14.215038061141968
Exciton, frame 18490 ran in:  14.156668424606323
Exciton, frame 18491 ran in:  14.245270013809204
Exciton, frame 18492 ran in:  14.098029136657715
Exciton, frame 18493 ran in:  14.288066864013672
Exciton, frame 18494 ran in:  14.064631223678589
Exciton, frame 18495 ran in:  14.135661125183105
Exciton, frame 18496 ran in:  14.220675230026245
Exciton, frame 18497 ran in:  14.21583366394043
Exciton, frame 18498 ran in:  14.13838267326355
Exciton, frame 18499 ran in:  14.267333507537842
Exciton, frame 18500 ran in:  13.845309734344482
Exciton, frame 18501 ran in:  14.044477939605713
Exciton, frame 18502 ran in:  14.16866660118103
Exciton, frame 18503 ran in:  14.295593738555908
Exciton, frame 18504 ran in:  13.976029634475708
Exciton, frame 18505 ran in:  13.84307050704956
Exciton, frame 18506 ran in:  14.045657396316528
Exciton, frame 18507 ran in:  14.219581842422485
Exciton, frame 18508 ran in:  14.08538293838501
Exciton, frame 18509 ran in:  13.881264448165894
Exciton, frame 18510 ran in:  14.334991693496704
Exciton, frame 18511 ran in:  14.193499326705933
Exciton, frame 18512 ran in:  14.156496286392212
Exciton, frame 18513 ran in:  14.269953727722168
Exciton, frame 18514 ran in:  14.051306247711182
Exciton, frame 18515 ran in:  14.445651769638062
Exciton, frame 18516 ran in:  13.948893308639526
Exciton, frame 18517 ran in:  13.809005737304688
Exciton, frame 18518 ran in:  14.349863290786743
Exciton, frame 18519 ran in:  14.271652221679688
Exciton, frame 18520 ran in:  14.110560894012451
Exciton, frame 18521 ran in:  14.037455081939697
Exciton, frame 18522 ran in:  14.381736278533936
Exciton, frame 18523 ran in:  14.195324420928955
Exciton, frame 18524 ran in:  14.544207572937012
Exciton, frame 18525 ran in:  14.206766366958618
Exciton, frame 18526 ran in:  14.202786207199097
Exciton, frame 18527 ran in:  13.957993984222412
Exciton, frame 18528 ran in:  14.161981582641602
Exciton, frame 18529 ran in:  14.415552616119385
Exciton, frame 18530 ran in:  14.26618766784668
Exciton, frame 18531 ran in:  13.802772521972656
Exciton, frame 18532 ran in:  13.668854475021362
Exciton, frame 18533 ran in:  14.008946418762207
Exciton, frame 18534 ran in:  14.44264030456543
Exciton, frame 18535 ran in:  14.050400495529175
Exciton, frame 18536 ran in:  14.281166315078735
Exciton, frame 18537 ran in:  14.27529263496399
Exciton, frame 18538 ran in:  13.993592023849487
Exciton, frame 18539 ran in:  13.98453402519226
Exciton, frame 18540 ran in:  14.368678569793701
Exciton, frame 18541 ran in:  14.11848783493042
Exciton, frame 18542 ran in:  14.247469186782837
Exciton, frame 18543 ran in:  14.413243293762207
Exciton, frame 18544 ran in:  14.0711350440979
Exciton, frame 18545 ran in:  14.60630989074707
Exciton, frame 18546 ran in:  14.288554668426514
Exciton, frame 18547 ran in:  13.957510471343994
Exciton, frame 18548 ran in:  13.921016931533813
Exciton, frame 18549 ran in:  13.989092350006104
Exciton, frame 18550 ran in:  14.137426614761353
Exciton, frame 18551 ran in:  14.301163911819458
Exciton, frame 18552 ran in:  14.474719047546387
Exciton, frame 18553 ran in:  14.44718074798584
Exciton, frame 18554 ran in:  14.249131441116333
Exciton, frame 18555 ran in:  14.099660873413086
