cpu-bind=MASK - bp1-compute060, task 4294967295 4294967295 [0]: mask 0x7fffe57fffe5 set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 18.767935 secs
Exciton, frame 9533 ran in:  12.115725994110107
Exciton, frame 9534 ran in:  12.136669635772705
Exciton, frame 9535 ran in:  12.077898740768433
Exciton, frame 9536 ran in:  12.69710898399353
Exciton, frame 9537 ran in:  12.633921384811401
Exciton, frame 9538 ran in:  12.530139684677124
Exciton, frame 9539 ran in:  12.548101663589478
Exciton, frame 9540 ran in:  12.150737285614014
Exciton, frame 9541 ran in:  12.309574127197266
Exciton, frame 9542 ran in:  12.306041240692139
Exciton, frame 9543 ran in:  12.599457263946533
Exciton, frame 9544 ran in:  12.254531383514404
Exciton, frame 9545 ran in:  12.380297899246216
Exciton, frame 9546 ran in:  12.166054964065552
Exciton, frame 9547 ran in:  12.033647060394287
Exciton, frame 9548 ran in:  12.080266952514648
Exciton, frame 9549 ran in:  12.331366300582886
Exciton, frame 9550 ran in:  12.312667846679688
Exciton, frame 9551 ran in:  12.2437903881073
Exciton, frame 9552 ran in:  12.350384950637817
Exciton, frame 9553 ran in:  12.270950555801392
Exciton, frame 9554 ran in:  12.270886898040771
Exciton, frame 9555 ran in:  12.283136129379272
Exciton, frame 9556 ran in:  12.490875005722046
Exciton, frame 9557 ran in:  12.265619039535522
