cpu-bind=MASK - bp1-compute139, task 4294967295 4294967295 [0]: mask 0xff0fff00ff0fff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 15.398987 secs
Exciton, frame 129398 ran in:  13.468109130859375
Exciton, frame 129399 ran in:  13.236778259277344
Exciton, frame 129400 ran in:  13.579256534576416
Exciton, frame 129401 ran in:  14.200886249542236
Exciton, frame 129402 ran in:  13.284061193466187
Exciton, frame 129403 ran in:  13.396224737167358
Exciton, frame 129404 ran in:  13.453026294708252
Exciton, frame 129405 ran in:  13.24627685546875
Exciton, frame 129406 ran in:  13.31799602508545
Exciton, frame 129407 ran in:  13.402014255523682
Exciton, frame 129408 ran in:  12.938729763031006
Exciton, frame 129409 ran in:  12.884914875030518
Exciton, frame 129410 ran in:  13.49205470085144
Exciton, frame 129411 ran in:  13.185646772384644
Exciton, frame 129412 ran in:  13.264686107635498
Exciton, frame 129413 ran in:  13.423701286315918
Exciton, frame 129414 ran in:  13.47869348526001
Exciton, frame 129415 ran in:  13.393225193023682
Exciton, frame 129416 ran in:  13.552251815795898
Exciton, frame 129417 ran in:  13.306074380874634
Exciton, frame 129418 ran in:  13.159594297409058
Exciton, frame 129419 ran in:  13.48056149482727
Exciton, frame 129420 ran in:  13.714164018630981
Exciton, frame 129421 ran in:  13.529448747634888
Exciton, frame 129422 ran in:  13.320333003997803
Exciton, frame 129423 ran in:  13.36111068725586
Exciton, frame 129424 ran in:  13.602856636047363
Exciton, frame 129425 ran in:  13.437363862991333
Exciton, frame 129426 ran in:  13.423073768615723
Exciton, frame 129427 ran in:  13.699777364730835
Exciton, frame 129428 ran in:  13.998490810394287
Exciton, frame 129429 ran in:  13.068059206008911
Exciton, frame 129430 ran in:  13.4364914894104
Exciton, frame 129431 ran in:  13.357939004898071
Exciton, frame 129432 ran in:  13.863544464111328
Exciton, frame 129433 ran in:  13.652243375778198
Exciton, frame 129434 ran in:  13.337820053100586
Exciton, frame 129435 ran in:  13.209406614303589
Exciton, frame 129436 ran in:  13.417402744293213
Exciton, frame 129437 ran in:  13.539029359817505
Exciton, frame 129438 ran in:  12.963190078735352
Exciton, frame 129439 ran in:  13.417174339294434
Exciton, frame 129440 ran in:  13.249197006225586
Exciton, frame 129441 ran in:  13.44446349143982
Exciton, frame 129442 ran in:  13.62506651878357
Exciton, frame 129443 ran in:  13.32692575454712
Exciton, frame 129444 ran in:  13.407423973083496
Exciton, frame 129445 ran in:  13.078173637390137
Exciton, frame 129446 ran in:  13.541871070861816
Exciton, frame 129447 ran in:  13.418046474456787
Exciton, frame 129448 ran in:  13.514367818832397
Exciton, frame 129449 ran in:  13.258230209350586
Exciton, frame 129450 ran in:  13.575109958648682
Exciton, frame 129451 ran in:  13.6697998046875
Exciton, frame 129452 ran in:  13.329174757003784
Exciton, frame 129453 ran in:  13.482097625732422
Exciton, frame 129454 ran in:  13.340141773223877
Exciton, frame 129455 ran in:  13.314819097518921
Exciton, frame 129456 ran in:  13.548756122589111
Exciton, frame 129457 ran in:  13.320613622665405
Exciton, frame 129458 ran in:  13.302871704101562
Exciton, frame 129459 ran in:  13.663506507873535
Exciton, frame 129460 ran in:  13.564945936203003
Exciton, frame 129461 ran in:  13.428925514221191
Exciton, frame 129462 ran in:  13.778846979141235
Exciton, frame 129463 ran in:  13.31169080734253
Exciton, frame 129464 ran in:  13.343436002731323
Exciton, frame 129465 ran in:  13.540024757385254
Exciton, frame 129466 ran in:  13.492475271224976
Exciton, frame 129467 ran in:  13.334405660629272
Exciton, frame 129468 ran in:  13.468860149383545
Exciton, frame 129469 ran in:  13.421645402908325
Exciton, frame 129470 ran in:  13.332919359207153
Exciton, frame 129471 ran in:  13.62804388999939
Exciton, frame 129472 ran in:  13.532021522521973
Exciton, frame 129473 ran in:  13.261831283569336
Exciton, frame 129474 ran in:  13.617852210998535
Exciton, frame 129475 ran in:  13.531530618667603
Exciton, frame 129476 ran in:  13.336585283279419
Exciton, frame 129477 ran in:  13.621893644332886
Exciton, frame 129478 ran in:  13.905197143554688
Exciton, frame 129479 ran in:  13.400023221969604
Exciton, frame 129480 ran in:  13.076422214508057
Exciton, frame 129481 ran in:  13.261302471160889
Exciton, frame 129482 ran in:  12.937007188796997
Exciton, frame 129483 ran in:  13.517031908035278
Exciton, frame 129484 ran in:  13.908227443695068
Exciton, frame 129485 ran in:  13.341006994247437
Exciton, frame 129486 ran in:  13.361822843551636
Exciton, frame 129487 ran in:  13.86074161529541
Exciton, frame 129488 ran in:  13.518904447555542
Exciton, frame 129489 ran in:  14.077576160430908
Exciton, frame 129490 ran in:  13.769791841506958
Exciton, frame 129491 ran in:  14.38710069656372
Exciton, frame 129492 ran in:  13.223721265792847
Exciton, frame 129493 ran in:  13.731789588928223
Exciton, frame 129494 ran in:  13.343371391296387
Exciton, frame 129495 ran in:  13.7150137424469
Exciton, frame 129496 ran in:  13.579236268997192
Exciton, frame 129497 ran in:  13.831770181655884
Exciton, frame 129498 ran in:  13.489923000335693
Exciton, frame 129499 ran in:  13.26791262626648
Exciton, frame 129500 ran in:  13.23284125328064
Exciton, frame 129501 ran in:  13.548922061920166
Exciton, frame 129502 ran in:  13.494718790054321
Exciton, frame 129503 ran in:  13.449084520339966
Exciton, frame 129504 ran in:  13.017357349395752
Exciton, frame 129505 ran in:  13.3260018825531
Exciton, frame 129506 ran in:  13.147082328796387
Exciton, frame 129507 ran in:  13.583836317062378
Exciton, frame 129508 ran in:  13.550556659698486
Exciton, frame 129509 ran in:  13.457857370376587
Exciton, frame 129510 ran in:  13.503105878829956
Exciton, frame 129511 ran in:  13.597811222076416
Exciton, frame 129512 ran in:  13.614808082580566
Exciton, frame 129513 ran in:  14.164168119430542
Exciton, frame 129514 ran in:  13.776396751403809
Exciton, frame 129515 ran in:  13.668339967727661
Exciton, frame 129516 ran in:  13.293071269989014
Exciton, frame 129517 ran in:  13.299149990081787
Exciton, frame 129518 ran in:  14.127886533737183
Exciton, frame 129519 ran in:  13.673225402832031
Exciton, frame 129520 ran in:  13.337323904037476
Exciton, frame 129521 ran in:  13.38810133934021
Exciton, frame 129522 ran in:  12.862419605255127
Exciton, frame 129523 ran in:  13.52972412109375
