cpu-bind=MASK - bp1-compute090, task 4294967295 4294967295 [0]: mask 0x7fa7ff7fa7ff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 16.488590 secs
Exciton, frame 30449 ran in:  12.969608306884766
Exciton, frame 30450 ran in:  12.781547546386719
Exciton, frame 30451 ran in:  12.985438823699951
Exciton, frame 30452 ran in:  12.984313011169434
Exciton, frame 30453 ran in:  12.879116773605347
Exciton, frame 30454 ran in:  12.778640270233154
Exciton, frame 30455 ran in:  12.855068445205688
Exciton, frame 30456 ran in:  12.81653380393982
Exciton, frame 30457 ran in:  12.799107074737549
Exciton, frame 30458 ran in:  12.756335496902466
Exciton, frame 30459 ran in:  13.028411149978638
Exciton, frame 30460 ran in:  12.670111656188965
Exciton, frame 30461 ran in:  12.886852741241455
Exciton, frame 30462 ran in:  12.841715574264526
Exciton, frame 30463 ran in:  12.790216207504272
Exciton, frame 30464 ran in:  12.61240530014038
Exciton, frame 30465 ran in:  13.028565406799316
Exciton, frame 30466 ran in:  12.953435182571411
Exciton, frame 30467 ran in:  12.867414236068726
Exciton, frame 30468 ran in:  12.80836820602417
Exciton, frame 30469 ran in:  13.139504194259644
Exciton, frame 30470 ran in:  12.766159772872925
Exciton, frame 30471 ran in:  12.692041873931885
Exciton, frame 30472 ran in:  12.752476692199707
Exciton, frame 30473 ran in:  12.889535665512085
Exciton, frame 30474 ran in:  12.840211391448975
Exciton, frame 30475 ran in:  13.121499061584473
Exciton, frame 30476 ran in:  12.928226947784424
Exciton, frame 30477 ran in:  12.987083673477173
Exciton, frame 30478 ran in:  12.772348165512085
Exciton, frame 30479 ran in:  12.919649362564087
Exciton, frame 30480 ran in:  12.562324523925781
Exciton, frame 30481 ran in:  12.657766580581665
Exciton, frame 30482 ran in:  12.780551433563232
Exciton, frame 30483 ran in:  13.015807628631592
Exciton, frame 30484 ran in:  12.677220582962036
Exciton, frame 30485 ran in:  12.929963827133179
Exciton, frame 30486 ran in:  12.789255857467651
Exciton, frame 30487 ran in:  13.04439377784729
Exciton, frame 30488 ran in:  12.631314754486084
Exciton, frame 30489 ran in:  12.8861985206604
Exciton, frame 30490 ran in:  12.868951320648193
Exciton, frame 30491 ran in:  12.832802295684814
Exciton, frame 30492 ran in:  13.046850204467773
Exciton, frame 30493 ran in:  12.59953260421753
Exciton, frame 30494 ran in:  12.75789475440979
Exciton, frame 30495 ran in:  12.817419528961182
Exciton, frame 30496 ran in:  12.813278436660767
Exciton, frame 30497 ran in:  12.872450590133667
Exciton, frame 30498 ran in:  12.837983846664429
Exciton, frame 30499 ran in:  12.681301593780518
Exciton, frame 30500 ran in:  12.71530818939209
Exciton, frame 30501 ran in:  13.127289056777954
Exciton, frame 30502 ran in:  13.048931121826172
Exciton, frame 30503 ran in:  12.809348583221436
Exciton, frame 30504 ran in:  12.758679389953613
Exciton, frame 30505 ran in:  12.820196390151978
Exciton, frame 30506 ran in:  13.026752948760986
Exciton, frame 30507 ran in:  12.860841274261475
Exciton, frame 30508 ran in:  12.938007354736328
Exciton, frame 30509 ran in:  12.910733938217163
Exciton, frame 30510 ran in:  12.845134973526001
Exciton, frame 30511 ran in:  12.659656524658203
Exciton, frame 30512 ran in:  12.77989935874939
Exciton, frame 30513 ran in:  12.882048606872559
Exciton, frame 30514 ran in:  12.718452453613281
Exciton, frame 30515 ran in:  12.740546226501465
Exciton, frame 30516 ran in:  12.714030504226685
Exciton, frame 30517 ran in:  12.907612323760986
Exciton, frame 30518 ran in:  12.81337571144104
Exciton, frame 30519 ran in:  12.742595195770264
Exciton, frame 30520 ran in:  12.674297332763672
Exciton, frame 30521 ran in:  12.99368691444397
Exciton, frame 30522 ran in:  12.754735469818115
Exciton, frame 30523 ran in:  12.781672477722168
Exciton, frame 30524 ran in:  12.844880104064941
Exciton, frame 30525 ran in:  12.85619831085205
Exciton, frame 30526 ran in:  13.08020281791687
Exciton, frame 30527 ran in:  12.94051194190979
Exciton, frame 30528 ran in:  12.979671478271484
Exciton, frame 30529 ran in:  12.764817237854004
Exciton, frame 30530 ran in:  12.8904447555542
Exciton, frame 30531 ran in:  12.855606317520142
Exciton, frame 30532 ran in:  12.65753436088562
Exciton, frame 30533 ran in:  12.819110870361328
Exciton, frame 30534 ran in:  12.715790748596191
Exciton, frame 30535 ran in:  12.585387229919434
Exciton, frame 30536 ran in:  12.953874826431274
Exciton, frame 30537 ran in:  12.780494928359985
Exciton, frame 30538 ran in:  12.989451885223389
Exciton, frame 30539 ran in:  12.883340120315552
Exciton, frame 30540 ran in:  12.838223218917847
Exciton, frame 30541 ran in:  12.666398525238037
Exciton, frame 30542 ran in:  12.756136655807495
Exciton, frame 30543 ran in:  13.052739381790161
Exciton, frame 30544 ran in:  12.868023157119751
Exciton, frame 30545 ran in:  12.87255311012268
