cpu-bind=MASK - bp1-compute089, task 4294967295 4294967295 [0]: mask 0xffe7f5ffe7f5 set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 17.070396 secs
Exciton, frame 42523 ran in:  12.716782569885254
Exciton, frame 42524 ran in:  12.799444675445557
Exciton, frame 42525 ran in:  13.022512435913086
Exciton, frame 42526 ran in:  12.582174062728882
Exciton, frame 42527 ran in:  12.25513243675232
Exciton, frame 42528 ran in:  12.548032522201538
Exciton, frame 42529 ran in:  12.640749216079712
Exciton, frame 42530 ran in:  12.842524290084839
Exciton, frame 42531 ran in:  12.51026964187622
Exciton, frame 42532 ran in:  12.66225528717041
Exciton, frame 42533 ran in:  12.509011268615723
Exciton, frame 42534 ran in:  13.055657625198364
Exciton, frame 42535 ran in:  12.872887134552002
Exciton, frame 42536 ran in:  12.62531566619873
Exciton, frame 42537 ran in:  12.945106506347656
Exciton, frame 42538 ran in:  12.529711961746216
Exciton, frame 42539 ran in:  13.088523626327515
Exciton, frame 42540 ran in:  12.797899007797241
Exciton, frame 42541 ran in:  12.614341974258423
Exciton, frame 42542 ran in:  12.761359691619873
Exciton, frame 42543 ran in:  12.972516059875488
Exciton, frame 42544 ran in:  13.076436042785645
Exciton, frame 42545 ran in:  13.078419923782349
Exciton, frame 42546 ran in:  12.963086366653442
Exciton, frame 42547 ran in:  12.917376041412354
Exciton, frame 42548 ran in:  13.042572259902954
Exciton, frame 42549 ran in:  12.6746244430542
Exciton, frame 42550 ran in:  12.781337261199951
Exciton, frame 42551 ran in:  12.47429633140564
Exciton, frame 42552 ran in:  12.645868301391602
Exciton, frame 42553 ran in:  12.41295838356018
Exciton, frame 42554 ran in:  12.916192054748535
Exciton, frame 42555 ran in:  12.593049764633179
Exciton, frame 42556 ran in:  12.629230737686157
