cpu-bind=MASK - bp1-compute155, task 4294967295 4294967295 [0]: mask 0xf000fffff000ffff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 15.743730 secs
Exciton, frame 3532 ran in:  11.913957357406616
Exciton, frame 3533 ran in:  12.188448667526245
Exciton, frame 3534 ran in:  12.164681673049927
Exciton, frame 3535 ran in:  12.007606983184814
Exciton, frame 3536 ran in:  11.92280101776123
Exciton, frame 3537 ran in:  12.007291078567505
Exciton, frame 3538 ran in:  11.80993366241455
Exciton, frame 3539 ran in:  11.839329719543457
Exciton, frame 3540 ran in:  11.759896516799927
Exciton, frame 3541 ran in:  12.185290336608887
Exciton, frame 3542 ran in:  12.29746150970459
Exciton, frame 3543 ran in:  11.89680552482605
Exciton, frame 3544 ran in:  12.008479118347168
Exciton, frame 3545 ran in:  12.05431056022644
Exciton, frame 3546 ran in:  11.977575540542603
Exciton, frame 3547 ran in:  11.61361813545227
Exciton, frame 3548 ran in:  11.840705871582031
Exciton, frame 3549 ran in:  12.044243812561035
Exciton, frame 3550 ran in:  11.951823711395264
Exciton, frame 3551 ran in:  11.804596185684204
Exciton, frame 3552 ran in:  11.802192211151123
Exciton, frame 3553 ran in:  12.992082118988037
Exciton, frame 3554 ran in:  12.099791526794434
Exciton, frame 3555 ran in:  11.927679300308228
Exciton, frame 3556 ran in:  12.037930965423584
Exciton, frame 3557 ran in:  12.058745384216309
