cpu-bind=MASK - bp1-compute065, task 4294967295 4294967295 [0]: mask 0xffdfdcffdfdc set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 23.691583 secs
Exciton, frame 48345 ran in:  13.094350814819336
Exciton, frame 48346 ran in:  13.34778904914856
Exciton, frame 48347 ran in:  12.676171779632568
Exciton, frame 48348 ran in:  12.151930570602417
Exciton, frame 48349 ran in:  13.042433738708496
Exciton, frame 48350 ran in:  13.319955825805664
Exciton, frame 48351 ran in:  12.9081392288208
Exciton, frame 48352 ran in:  12.756138801574707
Exciton, frame 48353 ran in:  12.22327470779419
Exciton, frame 48354 ran in:  12.00722885131836
Exciton, frame 48355 ran in:  12.115569591522217
Exciton, frame 48356 ran in:  12.72392725944519
Exciton, frame 48357 ran in:  12.192680597305298
Exciton, frame 48358 ran in:  12.0299551486969
Exciton, frame 48359 ran in:  12.504115343093872
Exciton, frame 48360 ran in:  12.281599760055542
Exciton, frame 48361 ran in:  12.223929166793823
Exciton, frame 48362 ran in:  12.984125852584839
Exciton, frame 48363 ran in:  12.659573316574097
Exciton, frame 48364 ran in:  12.390568733215332
Exciton, frame 48365 ran in:  12.629254817962646
Exciton, frame 48366 ran in:  12.958836793899536
Exciton, frame 48367 ran in:  12.87073040008545
Exciton, frame 48368 ran in:  13.149708032608032
Exciton, frame 48369 ran in:  13.017444372177124
Exciton, frame 48370 ran in:  13.049283742904663
Exciton, frame 48371 ran in:  12.597874402999878
Exciton, frame 48372 ran in:  12.653035163879395
Exciton, frame 48373 ran in:  12.928370475769043
Exciton, frame 48374 ran in:  13.264047861099243
Exciton, frame 48375 ran in:  13.16240644454956
Exciton, frame 48376 ran in:  12.918487310409546
Exciton, frame 48377 ran in:  12.999854803085327
Exciton, frame 48378 ran in:  13.12618112564087
Exciton, frame 48379 ran in:  12.506766557693481
Exciton, frame 48380 ran in:  12.667166233062744
Exciton, frame 48381 ran in:  12.988282918930054
Exciton, frame 48382 ran in:  12.670055150985718
Exciton, frame 48383 ran in:  12.942087411880493
Exciton, frame 48384 ran in:  13.282649755477905
Exciton, frame 48385 ran in:  12.997129917144775
Exciton, frame 48386 ran in:  13.234492540359497
Exciton, frame 48387 ran in:  12.988396406173706
Exciton, frame 48388 ran in:  13.21415090560913
Exciton, frame 48389 ran in:  13.371671438217163
Exciton, frame 48390 ran in:  13.097557783126831
Exciton, frame 48391 ran in:  13.300766229629517
Exciton, frame 48392 ran in:  13.221944570541382
Exciton, frame 48393 ran in:  12.979411840438843
Exciton, frame 48394 ran in:  13.41054654121399
Exciton, frame 48395 ran in:  13.40697717666626
Exciton, frame 48396 ran in:  12.983972072601318
Exciton, frame 48397 ran in:  13.049559116363525
Exciton, frame 48398 ran in:  13.033221006393433
Exciton, frame 48399 ran in:  13.021549463272095
Exciton, frame 48400 ran in:  12.789442300796509
Exciton, frame 48401 ran in:  13.082649230957031
Exciton, frame 48402 ran in:  12.830809831619263
Exciton, frame 48403 ran in:  13.178361892700195
Exciton, frame 48404 ran in:  13.048136711120605
Exciton, frame 48405 ran in:  13.165236234664917
Exciton, frame 48406 ran in:  13.34160852432251
Exciton, frame 48407 ran in:  12.611846446990967
Exciton, frame 48408 ran in:  13.055538177490234
Exciton, frame 48409 ran in:  13.030808448791504
Exciton, frame 48410 ran in:  13.343745708465576
Exciton, frame 48411 ran in:  13.250707864761353
Exciton, frame 48412 ran in:  13.019259691238403
Exciton, frame 48413 ran in:  13.002123594284058
Exciton, frame 48414 ran in:  13.170112133026123
Exciton, frame 48415 ran in:  13.060086011886597
Exciton, frame 48416 ran in:  12.664103269577026
Exciton, frame 48417 ran in:  13.091279983520508
Exciton, frame 48418 ran in:  12.699077129364014
Exciton, frame 48419 ran in:  12.804409503936768
Exciton, frame 48420 ran in:  12.589703798294067
Exciton, frame 48421 ran in:  13.086606979370117
Exciton, frame 48422 ran in:  13.08280611038208
Exciton, frame 48423 ran in:  13.240761756896973
Exciton, frame 48424 ran in:  13.060877084732056
Exciton, frame 48425 ran in:  12.915827751159668
Exciton, frame 48426 ran in:  12.390892267227173
Exciton, frame 48427 ran in:  13.072454452514648
